Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_NINJASOCKS,Ninjasocks,Ninjasocks,Ninjasocks,Ninjasocken,Ninjasocks,Skarpety ninja ,Ninjasocks,Calzini Ninja ,Calcetines ninja ,Chaussettes Ninja ,Ninjasocks,Ninjasocks,Meias Ninja ,Ninjasocks
STR_NINJASOCKS_DESC,Blackened cloth shoes with resin soles. As durable as athletic shoes.,Blackened cloth shoes with resin soles. As durable as athletic shoes.,Blackened cloth shoes with resin soles. As durable as athletic shoes.,Schwarze Stoffschuhe mit Harzsohle. So stabil wie Turnschuhe.,Blackened cloth shoes with resin soles. As durable as athletic shoes.,"Czarne, materia?owe buty z podeszw? z ?ywicy. Trwa?e jak buty sportowe. ",Blackened cloth shoes with resin soles. As durable as athletic shoes.,Scarpe di stoffa annerita con suola in resina. Resistente come le scarpe da ginnastica. ,Zapatos de tela ennegrecida con suela de resina. Tan duradero como el calzado deportivo. ,Chaussures en tissu noirci avec semelles en résine. Aussi durables que des chaussures de sport. ,Blackened cloth shoes with resin soles. As durable as athletic shoes.,Blackened cloth shoes with resin soles. As durable as athletic shoes.,Sapatos de tecido enegrecido com sola de resina. Tão durável quanto calçados esportivos. ,Blackened cloth shoes with resin soles. As durable as athletic shoes.
STR_NINJASOCKS_DYE,Dyed improvised feet cover,Dyed improvised feet cover,Dyed improvised feet cover,Gefärbte Stoffschuhe,Dyed improvised feet cover,Barwiona improwizowana os?ona na stopy ,Dyed improvised feet cover,Copri piedi improvvisato tinto ,Cubre pies improvisado teñido ,Couvre-pieds improvisé teint ,Dyed improvised feet cover,Dyed improvised feet cover,Capa de pés improvisada tingida ,Dyed improvised feet cover
STR_NINJASOCKS_DYE_DESC,Cloth shoes blackened with bark,Cloth shoes blackened with bark,Cloth shoes blackened with bark,Stoffschuhe mit Baumrinde gefärbt,Cloth shoes blackened with bark,Buty materia?owe czernione kor? ,Cloth shoes blackened with bark,Scarpe di stoffa annerite con corteccia ,Zapatos de tela ennegrecidos con corteza. ,Chaussures en tissu noircies d'écorce ,Cloth shoes blackened with bark,Cloth shoes blackened with bark,Sapatos de pano enegrecidos com casca ,Cloth shoes blackened with bark
STR_NINJASOCKS_HARD,Improvised footwear with resin soles,Improvised footwear with resin soles,Improvised footwear with resin soles.,Stoffschuhe mit Harzsohle,Improvised footwear with resin soles,Improwizowane obuwie z podeszwami z ?ywicy. ,Improvised footwear with resin soles.,Calzature improvvisate con suole in resina,Calzado improvisado con suela de resina. ,Chaussures improvisées avec semelles en résine ,Improvised footwear with resin soles.,Improvised footwear with resin soles.,Calçado improvisado com sola de resina ,Improvised footwear with resin soles.
STR_NINJASOCKS_HARD_DESC,Improvised footwear with a resin sole. As durable as athletic shoes,Improvised footwear with a resin sole. As durable as athletic shoes,Improvised footwear with a resin sole. As durable as athletic shoes,Stoffschuhe mit Sohle aus Epoxidharz. So stabil wie Turnschuhe.,Improvised footwear with a resin sole. As durable as athletic shoes,Improwizowane obuwie z podeszw? z ?ywicy. Trwa?e jak buty sportowe ,Improvised footwear with a resin sole. As durable as athletic shoes,Calzature improvvisate con suola in resina. Resistente come le scarpe da ginnastica ,Calzado improvisado con suela de resina. Tan duradero como los zapatos deportivos. ,Chaussure improvisée avec une semelle en résine. Aussi durable que des chaussures de sport ,Improvised footwear with a resin sole. As durable as athletic shoes,Improvised footwear with a resin sole. As durable as athletic shoes,Calçado improvisado com sola de resina. Tão durável quanto calçados esportivos ,Improvised footwear with a resin sole. As durable as athletic shoes
STR_SEIS_CRAFTNINJASOCKSHARD,Add epoxy soles,Add epoxy soles,Add epoxy soles,Sohlen aus Harz herstellen,Add epoxy soles,Dodaj podeszwy epoksydowe ,Add epoxy soles,Aggiungi suole epossidiche ,Agregar suelas de epoxi ,Ajouter des semelles époxy ,Add epoxy soles,Add epoxy soles,Adicione solas de epóxi ,Add epoxy soles
STR_SEIS_CRAFTNINJASOCKSDYE,Dye black,Dye black,Dye black,Dunkel färben,Dye black,Farbuj na czarno ,Dye black,Tintura nera ,Tinte negro ,Teinture noire ,Dye black,Dye black,Tintura preta ,Dye black
STR_SEIS_CRAFTNINJASOCKSDYEHARD1,Craft dyed Ninjasocks,Craft dyed Ninjasocks,Craft dyed Ninjasocks,Ninjasocken herstellen,Craft dyed Ninjasocks,R?cznie farbowane skarpetki Ninja ,Craft dyed Ninjasocks,Calzini Ninja tinti artigianalmente ,Ninjasocks teñidos artesanalmente ,Chaussettes Ninja teintes artisanalement ,Craft dyed Ninjasocks,Craft dyed Ninjasocks,Meias Ninja tingidos artesanalmente ,Craft dyed Ninjasocks
STR_SEIS_CRAFTNINJASOCKSDYEHARD2,Craft dyed Ninjasocks,Craft dyed Ninjasocks,Craft dyed Ninjasocks,Ninjasocken herstellen,Craft dyed Ninjasocks,R?cznie farbowane skarpetki Ninja ,Craft dyed Ninjasocks,Calzini Ninja tinti artigianalmente ,Ninjasocks teñidos artesanalmente ,Chaussettes Ninja teintes artisanalement ,Craft dyed Ninjasocks,Craft dyed Ninjasocks,Meias Ninja tingidos artesanalmente ,Craft dyed Ninjasocks
STR_NINJASOCKS_HARD,Mythical ninjasocks,Mythical ninjasocks,Mýtické ninjasocks ,Mystische Ninjasocken,Mythical ninjasocks,Mityczne skarpetki ninja ,Mitikus ninjazoknik ,Mitici calzini ninja ,Calcetines ninja míticos ,Chaussettes ninja mythiques ,Mythical ninjasocks,Mythical ninjasocks,Meias ninja míticas ,Mythical ninjasocks
STR_NINJASOCKS_HARD_DESC,As quiet as bare feet.,As quiet as bare feet.,Tichý jako bosé nohy. ,so leise wie barfußlaufen,As quiet as bare feet.,Cichy jak bose stopy. ,"Csendes, mint a mezítláb ",Silenzioso come i piedi nudi ,Tan silencioso como los pies descalzos ,Aussi silencieux que pieds nus ,As quiet as bare feet.,As quiet as bare feet.,Tão silencioso quanto pés descalços ,As quiet as bare feet.
